batch_idx,cls,x,y,w,h,kpt0_x,kpt0_y,kpt0_v,kpt1_x,kpt1_y,kpt1_v,kpt2_x,kpt2_y,kpt2_v,kpt3_x,kpt3_y,kpt3_v,kpt4_x,kpt4_y,kpt4_v,kpt5_x,kpt5_y,kpt5_v,kpt6_x,kpt6_y,kpt6_v,kpt7_x,kpt7_y,kpt7_v,kpt8_x,kpt8_y,kpt8_v,kpt9_x,kpt9_y,kpt9_v,kpt10_x,kpt10_y,kpt10_v,kpt11_x,kpt11_y,kpt11_v,kpt12_x,kpt12_y,kpt12_v,kpt13_x,kpt13_y,kpt13_v,kpt14_x,kpt14_y,kpt14_v
0.000000,1.000000,0.376172,0.377778,0.050781,0.077778,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000,0.376172,0.377778,0.000000
0.000000,1.000000,0.472656,0.409722,0.114062,0.175000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000,0.472656,0.409722,0.000000
0.000000,0.000000,0.191969,0.473638,0.384328,0.159111,0.384328,0.395611,1.000000,0.356760,0.406061,1.000000,0.329191,0.416511,1.000000,0.301622,0.426961,1.000000,0.274116,0.437902,1.000000,0.246705,0.449584,1.000000,0.219293,0.461266,1.000000,0.191881,0.472948,1.000000,0.164470,0.484630,1.000000,0.137058,0.496312,1.000000,0.109647,0.507994,1.000000,0.082235,0.519676,1.000000,0.054823,0.531358,1.000000,0.027412,0.543040,1.000000,0.000000,0.554722,1.000000
0.000000,0.000000,0.213886,0.657817,0.430141,0.518111,0.430141,0.402153,1.000000,0.397652,0.434108,1.000000,0.366230,0.469120,1.000000,0.335711,0.506715,1.000000,0.305192,0.544310,1.000000,0.274672,0.581906,1.000000,0.244153,0.619501,1.000000,0.213634,0.657096,1.000000,0.183115,0.694692,1.000000,0.152596,0.732287,1.000000,0.122077,0.769882,1.000000,0.091557,0.807478,1.000000,0.061038,0.845073,1.000000,0.030519,0.882669,1.000000,0.000000,0.920264,1.000000
0.000000,0.000000,0.717719,0.701389,0.439969,0.597222,0.497734,0.402778,1.000000,0.529161,0.445437,1.000000,0.560587,0.488095,1.000000,0.592013,0.530754,1.000000,0.623440,0.573413,1.000000,0.654866,0.616071,1.000000,0.686292,0.658730,1.000000,0.717719,0.701389,1.000000,0.749145,0.744048,1.000000,0.780571,0.786706,1.000000,0.811998,0.829365,1.000000,0.843424,0.872024,1.000000,0.874850,0.914683,1.000000,0.906277,0.957341,1.000000,0.937703,1.000000,1.000000
1.000000,1.000000,0.362109,0.363889,0.047656,0.058333,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000,0.362109,0.363889,0.000000
1.000000,2.000000,0.679953,0.349014,0.065750,0.102028,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000,0.679953,0.349014,0.000000
1.000000,4.000000,0.354402,0.129701,0.028258,0.021764,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000,0.354402,0.129701,0.000000
1.000000,1.000000,0.846875,0.341667,0.128125,0.097222,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000,0.846875,0.341667,0.000000
1.000000,0.000000,0.067422,0.673083,0.134844,0.127778,0.134844,0.609194,1.000000,0.125212,0.618321,1.000000,0.115580,0.627448,1.000000,0.105949,0.636575,1.000000,0.096317,0.645702,1.000000,0.086685,0.654829,1.000000,0.077054,0.663956,1.000000,0.067422,0.673083,1.000000,0.057790,0.682210,1.000000,0.048158,0.691337,1.000000,0.038527,0.700464,1.000000,0.028895,0.709591,1.000000,0.019263,0.718718,1.000000,0.009632,0.727845,1.000000,0.000000,0.736972,1.000000
