batch_idx,cls,x,y,w,h,kpt0_x,kpt0_y,kpt0_v,kpt1_x,kpt1_y,kpt1_v,kpt2_x,kpt2_y,kpt2_v,kpt3_x,kpt3_y,kpt3_v,kpt4_x,kpt4_y,kpt4_v,kpt5_x,kpt5_y,kpt5_v,kpt6_x,kpt6_y,kpt6_v,kpt7_x,kpt7_y,kpt7_v,kpt8_x,kpt8_y,kpt8_v,kpt9_x,kpt9_y,kpt9_v,kpt10_x,kpt10_y,kpt10_v,kpt11_x,kpt11_y,kpt11_v,kpt12_x,kpt12_y,kpt12_v,kpt13_x,kpt13_y,kpt13_v,kpt14_x,kpt14_y,kpt14_v
1.000000,5.000000,0.396102,0.032472,0.040656,0.064944,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000,0.396102,0.032472,0.000000
1.000000,1.000000,0.687500,0.323611,0.164062,0.258333,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000,0.687500,0.323611,0.000000
1.000000,1.000000,0.401953,0.352778,0.042969,0.066667,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000,0.401953,0.352778,0.000000
1.000000,1.000000,0.456250,0.351389,0.028125,0.058333,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000,0.456250,0.351389,0.000000
1.000000,1.000000,0.485547,0.374306,0.061719,0.079167,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000,0.485547,0.374306,0.000000
1.000000,0.000000,0.460758,0.689991,0.067867,0.621458,0.431195,0.378542,1.000000,0.430360,0.423709,1.000000,0.432513,0.468865,1.000000,0.437989,0.513126,1.000000,0.443465,0.557387,1.000000,0.448942,0.601648,1.000000,0.454418,0.645910,1.000000,0.459894,0.690171,1.000000,0.465370,0.734432,1.000000,0.470846,0.778694,1.000000,0.476322,0.822955,1.000000,0.481798,0.867216,1.000000,0.487274,0.911477,1.000000,0.492750,0.955739,1.000000,0.498227,1.000000,1.000000
1.000000,0.000000,0.188188,0.537824,0.376859,0.299792,0.376859,0.388917,1.000000,0.349712,0.409407,1.000000,0.322565,0.429897,1.000000,0.295780,0.451835,1.000000,0.269019,0.473868,1.000000,0.241944,0.494655,1.000000,0.214874,0.515466,1.000000,0.188015,0.537122,1.000000,0.161156,0.558777,1.000000,0.134296,0.580432,1.000000,0.107437,0.602087,1.000000,0.080578,0.623743,1.000000,0.053719,0.645398,1.000000,0.026859,0.667053,1.000000,0.000000,0.688708,1.000000
1.000000,0.000000,0.759880,0.534667,0.477633,0.272181,0.522367,0.392569,1.000000,0.554615,0.420489,1.000000,0.587747,0.444811,1.000000,0.622161,0.462778,1.000000,0.656576,0.480746,1.000000,0.690948,0.498971,1.000000,0.725287,0.517391,1.000000,0.759626,0.535811,1.000000,0.793965,0.554231,1.000000,0.828304,0.572651,1.000000,0.862644,0.591071,1.000000,0.896983,0.609490,1.000000,0.931322,0.627910,1.000000,0.965661,0.646330,1.000000,1.000000,0.664750,1.000000
2.000000,1.000000,0.164844,0.372917,0.042188,0.073611,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000,0.164844,0.372917,0.000000
2.000000,1.000000,0.097656,0.401389,0.092188,0.130556,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000,0.097656,0.401389,0.000000
